color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,review,sentiment
Color,James Cameron,723.0,178.0,0.0,855.0,Joel David Moore,1000.0,760505847.0,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Avatar ,886204,4834,Wes Studi,0.0,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054.0,English,USA,PG-13,237000000.0,2009.0,936.0,7.9,1.78,33000,"This was Laurel and Hardy's last silent film for Roach Studios. However, since the public had a real thirst for ""talkies"", this same short was re-made by the team just a few years later with only a few small plot changes. LAUGHING GRAVY was essentially the same plot except that Stan and Ollie were trying to hide a cute puppy from their grouchy landlord--not a goat like in ANGORA LOVE. This whole goat angle is the worst part of the film. While you could understand the boys wanting to keep a cute little dog (after all, it is snowy outside), why exactly they bring a goat home is just contrived and pointless. According to the plot, the goat followed them home and so they got tired of shooing it away and kept it. Huh?! This just doesn't make any sense--if it had been a giraffe or a cow, would they have done the same thing?! Apart from being an unconvincing plot, the movie itself is pure Laurel and Hardy, with a familiar plot and familiar roles for the comedians. This film features quite a few laughs, but unfortunately isn't one of their better films to wrap up their silent careers. This aspect of their careers just seems to have ended with a whimper.",positive
Color,Gore Verbinski,302.0,169.0,563.0,1000.0,Orlando Bloom,40000.0,309404152.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,Jack Davenport,0.0,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,USA,PG-13,300000000.0,2007.0,5000.0,7.1,2.35,0,"I try to watch it everyday most of the time, and even though I have watched it for the past 4 years, I have not seen every episode.<br /><br />The Show is about Danny Tanner who is guy who does news for sports. His wife is killed by a car accident from a drunk driver and he asks Jesse, an Elvis maniac with a motorcycle and has an obsession of his hair. Joey, an adult kid who does comedy and does voices of cartoons all the time to take care of his three girls, Donna Joe, they call her D.J., Stephinie who is the second oldest and Michelle, the youngest.<br /><br />They all live under one roof with no one to help them out.<br /><br />Later in the show, Jesse gets a girl friend and later is married to her and have twins, Nicki and Alex. (this starts to happen in the new seasons) This show is awesome, if you like The Suite life of Zack and Cody, That's so Raven, Boy Meets world, and Designing Woman, you will love this. (It starts to get better in the ending seasons) Watch it, you will love it!",positive
Color,Sam Mendes,602.0,148.0,0.0,161.0,Rory Kinnear,11000.0,200074175.0,Action|Adventure|Thriller,Christoph Waltz,Spectre ,275868,11700,Stephanie Sigman,1.0,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,UK,PG-13,245000000.0,2015.0,393.0,6.8,2.35,85000,"Universal Soldier: The Return is not the worst movie ever made. No, that honor would have to go to a film that attempted to make some sort of statement or accomplish some artistic feat but failed in a pathetic or offensive manner. However, perhaps no movie I have ever seen has tried for so little and succeeded so completely as did Universal Soldier: The Return. <br /><br />This film is a sci-fi/action travesty that has virtually nothing to recommend it. The acting is as bad as any movie I've ever seen. The plot is terrible and predictable. The special effects are pathetic. In short, anyone even remotely connected to this film should be ashamed of themselves. US: The Return makes previous Van Damme fare seem like groundbreaking cinematic masterpieces. Some movies are so bad, they're good. Believe me when I tell you that this is not one of them. I'm really not sure what else to say here. I doubt many people were considering seeing this movie if they hadn't already, but just in case: don't.",negative
Color,Christopher Nolan,813.0,164.0,22000.0,23000.0,Christian Bale,27000.0,448130642.0,Action|Thriller,Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0.0,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701.0,English,USA,PG-13,250000000.0,2012.0,23000.0,8.5,2.35,164000,"WOW I Love this movie. This is definitely added to my list of Ghetto Movies.<br /><br />Juice - Starring Tupac 'I don't giva F***' Menace II Society - O-Dawg 'I'll smoke Anybody, I just don't giva F****' New Jersey Drive - Hey they steal cars in broad daylight they obviously don't giva f***<br /><br />New Jersey Drive is the best hood movie ever. It is at the top of the list, menace II society is second, and juice is third, Clockers is really stupid.<br /><br />The soundtrack for New Jersey Drive is Pwnage too Mac Mall & Young Lay - All about my fetti is heard through out the movie.<br /><br />Lords of the underground - Burn rubber, another good song, and so is Ill & Al Scratch - don't shut down on a player<br /><br />If your a fan of GTA-SA you'll freaking love this movie, AND The amazing soundtrack. The soundtrack is basically Rap about stealing cars ^_^ SWEETTTT Movie!",positive
,Doug Walker,,,131.0,,Rob Walker,131.0,,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,8,143,,0.0,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,12.0,7.1,,0,"Verhoeven's movie was utter and complete garbage. He's a disgusting hack of a director and should be ashamed. By his own admission, he read 2 chapters of the book, got bored, and decided to make the whole thing up from scratch.<br /><br />Heinlein would have NEVER supported that trash if he'd been alive to see it. It basically steals the name, mocks politics of the book (which is a good portion of it), and throws in some T&A so the average idiot American moviegoer doesn't get bored.<br /><br />This anime isn't perfect, but it's at least mostly accurate, as best I can tell.",positive
Color,Andrew Stanton,462.0,132.0,475.0,530.0,Samantha Morton,640.0,73058679.0,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1.0,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,USA,PG-13,263700000.0,2012.0,632.0,6.6,2.35,24000,"In Michele Soavi's confusing art-house zombie film, Dellamorte Dellamore, Rupert Everett plays Francesco, a caretaker in a cemetery where the dead don't stay buried for long. Aided by his simple assistant, Gnaghi, Francesco deals with the cemetery's zombie problem by either shooting the undead in the head or splitting their skulls with a spade.<br /><br />However, soon after falling for the mysterious beautiful widow of one of his recently interred, Francesco finds himself busier than ever before<br /><br />Having garnered some particularly favourable comments from some of IMDb's more respected horror officianados, I decided to see what the fuss was all about. I've just finished watching the film, and I can honestly say that I haven't been this disappointed by a horror film for quite some time.<br /><br />With its dreary, muddled pseudo-philosophical plot, and an extremely bland performance from leading man Everett, Dellamorte Dellamore is an irritating and plodding mess that not even some splattery gore (courtesy of Sergio Stivaletti) and welcome gratuitous nudity (from busty Anna Fialchi) can save. I am at a loss to understand the amount of in-depth analysis and discussion that this pretentious bilge has received from its misguided fans.",negative
Color,Sam Raimi,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0.0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,2.35,0,"I've seen most of Ryuhei Kitamura's work and I've come to the conclusion that he has a knack for action. Scenes are kinetic and fast often combining elements of martial arts, gun fights and samurai fights with camera work that effectively captures the on screen carnage. With ""Versus"" and ""Aragami"" Kitamura demonstrated that creativity and showed that he his more than capable of working with a low budget. So what happened in ""Alive"" ? To be more blunt, the answer would be - nothing. Nothing happened in ""Alive"" it was a two hours plus movie with little to no action and little to no characters and plot.<br /><br />Adapted from a comic book by Tsutomu Takahashi ""Alive"" is an examination of the life of one Tenshu Yashiro (played by Hideo Sasaki) a death row convict who survives his execution. He is then given a choice of either to repeat the execution or to subject himself in a bizarre series of experiments. He chooses the latter and soon after that is placed in a room along with a rapist and later with a girl infected with a strange parasite that in exchange for it's host's humanity grants supernatural powers. Naturaly at some point that parasite moves into Yashiro, the bad thing is that doesn't happen very soon. <br /><br />Similar to ""Aragami"", ""Alive"" sets it's first half in establishing the basic exposition. Characters are introduced, their motivations are set and their relations between each other are uncovered. The whole thing even takes place in just one set. The first major problem of that comparison is that while ""Aragami"" was just a 70 minute movie, ""Alive"" drags on for more than two hours thus making the first part over one hour long. That length could have been justified had the characters been made a bit more interesting but alas that is not the case. Dialogue is dry, monotonous, delivered without any sense of emotion or depth, characters themselves aren't much interesting. There were some small attempts at making ""Alive"" a bit more moral ambiguous but in the end it all came down to the classic : evil government people against, super-powered protagonist, whom yes you guessed it, saves the girl in the end. Like I previously said the entire film practically takes place at just one set, and after two hours that does get boring, even worse the set design itself wasn't even interesting to begin with, and doesn't do much to improve on other aspects of the film.<br /><br />Now, after that first part is over, one might think that Kitamura would at least make some entertaining action scenes to make up for the boring beginning. Sadly that is not the case. The two only fights are actually rehashes of similar fights from Hollywood movies, complete with bullet time effects and psychic powers. They're just not interesting or fun, Kitamura's creativity from ""Versus"" is gone, the small set even limits his often very impressive camera-work and it all boils down into generic and expectable fights, a shame really.<br /><br />Evidently ""Aragami"" was better on all accounts and ""Kitamura"" had learned something from ""Alive"". So it wasn't at least a total loss watching this movie. If only to understand the errors made, how to fix them and create a better more entertaining movie.",negative
Color,Nathan Greno,324.0,100.0,15.0,284.0,Donna Murphy,799.0,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1.0,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387.0,English,USA,PG,260000000.0,2010.0,553.0,7.8,1.85,29000,"LIFEFORCE is an extremely schizophrenic movie, based on Colin Wilson`s novel The Space Vampires the script ignores most of the novel`s concepts and structure ( Indeed it owes more to the QUATERMASS serials than the novel ) but the scenes it does leave in from the novel are nearly identical to those in the film . And talking of the script it must be one of the most uneven in cinema history , it`s though it was written in chapters by several different people. Take for instance Carlson , he disappears after the early shuttle scenes which led me to believe he was dead then he turns up again halfway through the film in order to explain the plot to the beleaguered Brits and it`s this lack of attention by the screenwriters that spoils the film . And there`s plenty of other clumsy scripting such as the heroes returning to London in a helicopter and not realising it has been over run by zombies untill they`re flying over it .<br /><br />I could go on at great length about these plot holes but LIFEFORCE is actually enjoyable to watch as long as you don`t use your brain . It`s good to see a sci-fi horror film from an era when aliens were portrayed as being cute creatures that children hid in their bedrooms so that nasty human adults wouldn`t get their hands on them . The special effects and pyrotechnics are very very good , there`s lots of action and stunts and LIFEFORCE features one of the most memorable aliens in the form of the space girl . When mentioning LIFEFORCE in conversation with males it`s always a race to say "" Seen the alien in LIFEFORCE? She can suck the lifeforce out of me anytime "" Hardly surprising looking at the demographics of the votes that this film is more popular with males than females<br /><br />"" Don`t worry . A naked girl can`t escape from here "" Can`t she ? Pity<br /><br />",positive
Color,Joss Whedon,635.0,141.0,0.0,19000.0,Robert Downey Jr.,26000.0,458991599.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett Johansson,4.0,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117.0,English,USA,PG-13,250000000.0,2015.0,21000.0,7.5,2.35,118000,"If the redundancy of getting off the boat, on the boat, off the bus, on the bus.. is a way to waste time then you should go back to the Hollywood films that wrap this part up in one montage in order to get to the money shots. and in doing so leave you unconnected and in the cinematic limbo that results from not really showing the realities of life. The long drawn out travel sequences actually allow the viewer the same frustration and 'wait- in-line' feeling the characters must endure. Frustrating? yes. Vital? Indeed. the limbo of that travel is the key to the 'rootlessness' of this Turkish family. Beautiful film with great acting. Sad, but worth it.",positive
Color,David Yates,375.0,153.0,282.0,10000.0,Daniel Radcliffe,25000.0,301956980.0,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,58753,Rupert Grint,3.0,blood|book|love|potion|professor,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973.0,English,UK,PG,250000000.0,2009.0,11000.0,7.5,2.35,10000,"I saw Five Fingers at the Drive-In in...what, 1973, '74? It was the the first Kung-Fu movie I'd ever seen and I was greatly entertained. I recently bought it on DVD and watched it again. I was greatly entertained the second time, too. I believe this is probably the one most Kung-Fu movies are modeled after. Rival Schools, different styles, revenge, ""white hat"" good guys and ""black hat"" bad guys. They even threw in the Japanese (VERY bad guys) styles of Karate and Judo. I remember being amused by the dubbing dialog, along the lines of ""Hey You! You are a very bad guy!"" and ""They should not get away with this! I will have a go at this bad crowd!"" This time it wasn't so distracting, I guess I'm used to it. If you have even the slightest appreciation of this genre, this is one you should see.",positive
